Questions,Answers,Context Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the initial step the Mobile Station (MS) takes if it supports ProSe communications and needs to perform PLMN selection for ProSe communications?,The MS shall store a duplicate value of the RPLMN and a duplicate of the PLMN selection mode.,"The idle mode of a mobile station (MS) involves tasks such as PLMN selection, cell camping, and location registration. The MS, when switched on, contacts a network, selects a suitable cell, and registers its presence. If coverage is lost, the MS reselects a suitable cell. Various modes, such as automatic and manual, are employed for PLMN selection. Additionally, the MS may maintain lists of forbidden PLMNs and tracking areas, and various restrictions based on rejection messages are implemented. CSG (Closed Subscriber Group) selection involves automatic or manual modes, utilizing allowed and operator lists, with integrity protection for certain messages.The document outlines procedures for PLMN selection triggered by ProSe, V2X communication over PC5, and A2X communication over PC5, including steps for storing duplicate values, entering automatic mode, choosing allowable PLMNs, handling registration failures, and managing coverage changes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In Automatic mode of PLMN selection for ProSe communications, what conditions must the chosen allowable PLMN meet for the MS to attempt registration?","The PLMN must provide radio resources for ProSe communications over E-UTRA PC5 or 5G ProSe communications over NR PC5, be authorized for ProSe communications, and meet additional specified criteria.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"What actions should the MS take if the registration for the selected PLMN fails due to ""PLMN not allowed"" or ""EPS services not allowed""?","Depending on MS implementation, it may perform ProSe communications in limited service state, return to stored duplicate PLMN selection mode, or perform PLMN selection again with certain exclusions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How should the MS handle a situation where it is unable to find a suitable cell on the selected PLMN for ProSe communications?,"The MS may perform ProSe communications on the selected PLMN in limited service state if common radio resources are available, or return to the stored duplicate PLMN selection mode.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What happens if the PLMN selected for ProSe communications is a VPLMN?,The MS shall not periodically scan for higher priority PLMNs during the duration of ProSe communications.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 How does the MS handle PLMN selection triggered by V2X communication over PC5?,"It stores duplicate values, enters Automatic mode, chooses an allowable PLMN based on specified conditions, attempts registration, and takes appropriate actions in case of failure.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What conditions must the chosen allowable PLMN meet for V2X communication over PC5 registration?,"The PLMN must provide radio resources for V2X communication over PC5, be authorized for such communication, and meet additional specified criteria.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If the PLMN selection for V2X communication over PC5 fails, what actions can the MS take?","It may perform V2X communication in limited service state, return to stored duplicate PLMN selection mode, or perform PLMN selection again with certain exclusions, depending on MS implementation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 What is the solution to prevent potential ping-pong between the RPLMN and the PLMN selected for V2X communication over PC5?,It is MS implementation specific.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How does the MS proceed with PLMN selection triggered by A2X communication over PC5?,"It stores duplicate values, enters Automatic mode, chooses an allowable PLMN based on specified conditions, attempts registration, and takes appropriate actions in case of failure.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What conditions must the chosen allowable PLMN meet for A2X communication over PC5 registration?,"The PLMN must provide radio resources for A2X communication over PC5, be authorized for such communication, and meet additional specified criteria.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If the PLMN selection for A2X communication over PC5 fails, what actions can the MS take?","It may perform A2X communication in limited service state, return to stored duplicate PLMN selection mode, or perform PLMN selection again with certain exclusions, depending on MS implementation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the solution to prevent potential ping-pong between the RPLMN and the PLMN selected for A2X communication over PC5?,It is MS implementation specific.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the consequence for a Mobile Station (MS) attempting to camp on a cell in a region for which it does not have service entitlement?,"If an MS attempts to camp on a cell in a region without service entitlement, it will receive a message with cause value #12, and the MS shall take specific actions based on the mode in which the message was received, such as storing forbidden Location Area Identity (LAI) or Tracking Area Identity (TAI) in a list and entering a limited service state.","In the context of mobile network services, Section 3.2 discusses the provision of regionally restricted services, where mobile stations (MS) may be limited to certain areas. If an MS attempts to access a cell in an unauthorized region, it receives a specific cause value, and actions vary based on the network mode. The MS maintains lists of forbidden location or tracking areas, preventing repeated access attempts. Section 3.3 addresses issues in border areas between registration areas, introducing mechanisms to reduce signaling load during frequent registration area changes. Section 3.4 covers access control mechanisms, including restrictions on MS access based on Emergency Access Barring (EAB) or Access Control for Devices and Classes (ACDC). It also outlines scenarios where MSs may respond to paging messages or perform location registrations under access restrictions. Section 3.5 details conditions leading to a limited service state, where an MS cannot obtain normal service. This includes situations like failure to find a suitable cell, SIM absence, or network restrictions. Emergency services are exceptions. Lastly, Section 3.6 and 3.7 discuss CTS fixed part selection in A/Gb mode and operator-configurable NAS behavior using parameters in the USIM or ME.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In A/Gb mode, what is the action taken by an MS if it tries to camp on a SoLSA exclusive cell without a Localised Service Area subscription?","In A/Gb mode, if an MS attempts to camp on a SoLSA exclusive cell without a Localised Service Area subscription, it is only allowed to camp if it has a Localised Service Area subscription to the cell; otherwise, the MS enters the limited service state, and other MS may enter the limited service state as well.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"How does an MS handle the lists of ""5GS forbidden tracking areas for regional provision of service"" in SNPN access operation mode over 3GPP access?","In SNPN access operation mode over 3GPP access, the MS shall maintain lists of ""5GS forbidden tracking areas for regional provision of service,"" associated with an SNPN. If the number of lists exceeds the supported limit, the MS shall delete the oldest list. The MS deletes all lists when switched off or when the SNPN-related entries are updated or removed from the subscriber data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Under what conditions does an MS avoid making Location Registration (LR) requests when in a limited service state?,"In a limited service state, the MS avoids making LR requests until a valid Subscriber Identity Module (SIM) is present and either a suitable cell is found or a manual network reselection is performed. Exceptions include emergency calls, initial registration for emergency services, GPRS attach or EPS attach for emergency bearer services, or access to Radio Link On-demand Services (RLOS).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 How does an MS handle access control in case of Emergency Access Barring (EAB)?,"If configured for EAB, an MS follows the EAB mechanism, as specified in 3GPP TS 24.008, 3GPP TS 24.301, 3GPP TS 44.018, 3GPP TS 25.331, and 3GPP TS 36.331. The network operator can restrict network access for MSs configured for EAB in addition to common access control and domain-specific access control.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In which situations does an MS ignore Access Class Control (ACDC)?,"An MS configured for ACDC shall ignore ACDC in specific scenarios, including when responding to paging, initiating an emergency call, starting MO MMTEL voice or video calls, or starting MO SMSoIP, as specified in 3GPP TS 24.008, 3GPP TS 24.301.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What actions are taken by an MS if camped on a cell of a Forbidden Location Area (LA) or Tracking Area (TA) for regional provision of service?,"If camped on a cell of a Forbidden LA or TA for regional provision of service, the MS is not allowed to initiate the establishment of a Circuit Switched (CS) connection or request GPRS or 5GS services. However, the MS may respond to paging in such situations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Under what conditions can an MS make only emergency calls or access to Radio Link On-demand Services (RLOS) in a limited service state?,"An MS can make only emergency calls or access RLOS in a limited service state under various conditions, including failure to find a suitable cell, no SIM or invalid ""list of subscriber data,"" specific response codes during location registration, or certain network restrictions. The conditions are detailed in clause 3.5 of the provided context.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the significance of the CTS (Cellular Text Service) fixed part selection in A/Gb mode?," In A/Gb mode, the CTS MS operates on a CTS fixed part, and if it loses coverage, it periodically attempts to select a CTS fixed part by listening to CTSBCH frequencies. Criteria C1_CTS and C2_CTS are used to attach to a CTS fixed part and to determine when the MS is no longer under CTS coverage.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"How can Network Access Stratum (NAS) behavior be configured, and where are the parameters stored?","NAS behavior can be operator-configurable using parameters in the USIM or the ME. Parameters are specified in 3GPP TS 31.102, and precedence is specified in 3GPP TS 31.102 clause 5.2.29. The configuration can be stored in the USIM (see 3GPP TS 31.102) or the ME (see 3GPP TS 24.368).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" What is the purpose of the ""CAG information list"" in the context of CAG selection (N1 mode only)?","The ""CAG information list"" in CAG selection contains PLMN ID, ""Allowed CAG list,"" and an optional indication for 5GS access via CAG cells. It is provisioned by the network and stored in the ME's non-volatile memory.","The document outlines specifications for CAG (Closed Access Group) and SNPN (Single Network Point Name) selection in mobile networks, including provisions for disaster roaming services and signal level enhanced network selection for IoT devices. Additionally, it details the conditions for storing related information in the mobile equipment's non-volatile memory and the USIM.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"How does the MS handle the ""CAG information list"" when registered to a PLMN other than the HPLMN or EHPLMN?","When registered to a non-HPLMN or EHPLMN, the HPLMN sends a ""CAG information list"" related to the serving PLMN only.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" What is the role of the USIM in CAG information storage, and when does the MS consider the stored information?","The USIM can store a ""CAG information list,"" and the MS considers it when the USIM is inserted, updating the ME's information based on conditions specified in 3GPP TS 24.501 [64].",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Under what conditions is the ""CAG information list"" stored in the ME deleted, according to 3GPP TS 24.501 [64] annex C?","Annex C specifies conditions for deleting the ""CAG information list,"" including scenarios when no list is stored or when the SUPI from the USIM doesn't match the stored SUPI.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Explain the role of Minimization of service interruption (MINT) in disaster roaming services.,"MINT, if supported by the MS, allows network provisioning for disaster roaming, including disaster roaming wait and return wait ranges, and lists of PLMNs. It helps minimize service interruption during disasters.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How does the MS handle disaster roaming if disaster conditions end?,"Upon determining the end of a disaster condition, the MS follows the disaster return wait range, generating a random number within the range and initiating registration if conditions are met.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 What conditions must be fulfilled for Signal Level Enhanced Network Selection to apply?,"Conditions include being in automatic PLMN selection mode, supporting ""Operator controlled signal threshold per access technology,"" and being configured accordingly in the USIM.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"What is the intended usage of ""Operator controlled signal threshold per access technology""?","It is intended for IoT stationary devices, specified in 3GPP TS 22.011 [19], and may not be supported by non-IoT devices.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"How can the HPLMN update the ""Operator controlled signal threshold per access technology""?","The HPLMN can update it via steering of roaming information, and the ME uses the updated thresholds for subsequent PLMN selections after receiving a USAT REFRESH command.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" In the context of SNPN selection, what are the two modes for SNPN selection?",SNPN selection has two modes: Automatic SNPN selection mode and Manual SNPN selection mode.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the primary goal of idle mode processes?,The primary goal of idle mode processes is to ensure that the registered PLMN (Public Land Mobile Network) is the selected PLMN and that the registered SNPN (Selected Public Network) is the selected SNPN.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How can the overall state of the mobile be described in idle mode processes?,"The overall state of the mobile in idle mode processes is a composite of the states of PLMN selection, SNPN selection, cell selection, and location registration processes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In idle mode, what triggers a change of state in one process that may affect another process?", Events such as camping on a cell in a new registration area triggering an LR (Location Registration) request may cause a change of state in one process that affects another process.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the significance of the relationship between processes illustrated in figure 1 in clause 5?,"Figure 1 in clause 5 illustrates the relationship between processes, excluding SNPN selection. It shows how events in one process may lead to a change of state in another process.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"What is the state ""A1 - Trying RPLMN"" in the list of states for the PLMN selection process?","The state ""A1 - Trying RPLMN"" occurs when the mobile station (MS) is attempting to perform a Location Registration on the registered PLMN.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Describe the state ""L2 - Idle, No IMSI"" in the list of states for location registration.","The state ""L2 - Idle, No IMSI"" is entered if an LR request is rejected with causes such as IMSI unknown in HLR, illegal ME, illegal MS, GPRS services not allowed, or if there is no SIM.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"What are the modes for PLMN selection, and where are they described?",There are two modes for PLMN selection: automatic and manual. They are described in clauses 4.4.3 below and illustrated in figures 2a to 2b in clause 5.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"When does the MS perform registration on a PLMN, and what conditions must be met for successful registration?",The MS performs registration on the PLMN if it is capable of services requiring registration. Successful registration requires finding a suitable cell of the PLMN and having an LR request accepted in the registration area of the cell.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What information does the Mobile Equipment (ME) utilize for PLMN selection?,"The ME utilizes information stored in the SIM, including ""HPLMN Selector with Access Technology,"" ""User Controlled PLMN Selector with Access Technology,"" ""Forbidden PLMNs,"" and ""Equivalent HPLMN.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
